,Title,Developer(s),Publisher(s),Japan,North_America,PAL_region,Ref.,Realese_JP,Realese_North_America,Realese_PAL_region,Year_JP,Month_JP,Year_North_America,Month_North_America,Year_PAL,Month_PAL
1289,Star Trek: The Next Generation – Future's Past•Shin Star Trek: The Next GenerationJP,Spectrum HoloByte,Spectrum HoloByte,"November 17, 1994",March 1994,Unreleased,,1994-11-17,1994-03-01,,1994,11,1994,3,,
1290,Stardust Suplex,,Varie,"January 20, 1995",Unreleased,Unreleased,,1995-01-20,,,1995,1,,,,
1291,Stargate,Probe Entertainment,Acclaim Entertainment,"May 26, 1995",April 1995,"June 29, 1995",,1995-05-26,1995-04-01,1995-06-29,1995,5,1995,4,1995,6
1292,Stealth,Axes Art Amuse,Hect,"December 18, 1992",Unreleased,Unreleased,,1992-12-18,,,1992,12,,,,
1293,Steel Talons,Panoramic,Left Field Entertainment,Unreleased,November 1993,Unreleased,,,1993-11-01,,,,1993,11,,
1294,Sterling Sharpe: End 2 End,Tose,Jaleco,Unreleased,March 1995,Unreleased,,,1995-03-01,,,,1995,3,,
1295,Stone Protectors,Eurocom,Kemco,"April 28, 1995",November 1994,Unreleased,,1995-04-28,1994-11-01,,1995,4,1994,11,,
1296,Street Combat•Ranma ½: Chounai GekitouhenJP,Opus Corporation,Irem,"March 27, 1992",April 1993,Unreleased,,1992-03-27,1993-04-01,,1992,3,1993,4,,
1297,Street Fighter Alpha 2•Street Fighter Zero 2JP,Capcom,Capcom (JP)Nintendo (NA/EU),"December 20, 1996","November 1, 1996","December 19, 1996",,1996-12-20,1996-11-01,1996-12-19,1996,12,1996,11,1996,12
1298,Street Fighter II: The World Warrior †,Capcom,Capcom,"June 10, 1992","July 15, 1992","December 17, 1992",,1992-06-10,1992-07-15,1992-12-17,1992,6,1992,7,1992,12
1299,Street Fighter II Turbo: Hyper Fighting,Capcom,Capcom,"July 11, 1993","August 13, 1993",October 1993,,1993-07-11,1993-08-13,1993-10-01,1993,7,1993,8,1993,10
1300,Street Hockey '95,GTE Interactive Media,GTE Interactive Media,Unreleased,November 1994,Unreleased,,,1994-11-01,,,,1994,11,,
1301,Street Racer,Vivid Image,Ubisoft,"December 2, 1994",December 1994,"December 8, 1994",,1994-12-02,1994-12-01,1994-12-08,1994,12,1994,12,1994,12
1302,Strike Gunner S.T.G.•Super Strike GunnerEU,Athena,NTVIC,"March 27, 1992","October 15, 1992",November 1992,,1992-03-27,1992-10-15,1992-11-01,1992,3,1992,10,1992,11
1303,Stunt Race FX•Wild TraxJP,Nintendo/Argonaut Games,Nintendo,"June 4, 1994","October 10, 1994","October 27, 1994",,1994-06-04,1994-10-10,1994-10-27,1994,6,1994,10,1994,10
1304,Sugoi Hebereke,OLMSunsoft,Sunsoft,"March 11, 1994",Unreleased,Unreleased,,1994-03-11,,,1994,3,,,,
1305,Sugoro Quest ++ Dicenics,,Technōs Japan,"December 9, 1994",Unreleased,Unreleased,,1994-12-09,,,1994,12,,,,
1306,Sugoroku Ginga Senki,Bottom Up,Bottom Up,"December 19, 1996",Unreleased,Unreleased,,1996-12-19,,,1996,12,,,,
1307,Sun Sport Fishing: Keiryuu-Ou,Lenar,Imagineer,"December 22, 1994",Unreleased,Unreleased,,1994-12-22,,,1994,12,,,,
1308,Sunset Riders,Konami,Konami (NA)Palcom Software (EU),Unreleased,October 1993,October 1993,,,1993-10-01,1993-10-01,,,1993,10,1993,10
1309,Supapoon,Now Production,Yutaka,"October 6, 1995",Unreleased,Unreleased,,1995-10-06,,,1995,10,,,,
1310,Supapoon DX,Now Production,Yutaka,"May 31, 1996",Unreleased,Unreleased,,1996-05-31,,,1996,5,,,,
1311,Super Adventure Island•Takahashi Meijin no Daibouken JimaJP,Produce!,Hudson Soft,"January 11, 1992","April 1, 1992","November 19, 1992",,1992-01-11,1992-04-01,1992-11-19,1992,1,1992,4,1992,11
1312,Super Adventure Island II•Takahashi Meijin no Daibouken Jima II JP,Make Software,Hudson Soft,"January 3, 1995","May 10, 1995",March 1995,,1995-01-03,1995-05-10,1995-03-01,1995,1,1995,5,1995,3
1313,Super Air Diver 2,Copya Systems,Asmik Ace Entertainment,"March 3, 1995",Unreleased,Unreleased,,1995-03-03,,,1995,3,,,,
1314,Super Alfred Chicken•Alfred ChickenEU,Twilight Games,Mindscape,Unreleased,"February 1, 1994",1994,,,1994-02-01,1994-01-01,,,1994,2,1994,1
1315,The Super Aquatic Games Starring the Aquabats•James Pond's Crazy SportsEU,Millennium Interactive,Seika Corporation,Unreleased,October 1993,1994,,,1993-10-01,1994-01-01,,,1993,10,1994,1
1316,Super Back to the Future II,Invictus[citation needed],Toshiba EMI,"July 23, 1993",Unreleased,Unreleased,,1993-07-23,,,1993,7,,,,
1317,Super Baken Ou '95,,Techiku,"March 24, 1995",Unreleased,Unreleased,,1995-03-24,,,1995,3,,,,
1318,Super Baseball 2020,Monolith Corporation,Tradewest,"March 12, 1993","July 13, 1993",Unreleased,,1993-03-12,1993-07-13,,1993,3,1993,7,,
1319,Super Baseball Simulator 1.000•Super Ultra BaseballJP,Culture Brain,Culture Brain,"July 12, 1991","December 1, 1991",Unreleased,,1991-07-12,1991-12-01,,1991,7,1991,12,,
1320,Super Bases Loaded•Super Professional BaseballJP,Tose,Jaleco,"May 17, 1991","September 30, 1991",Unreleased,,1991-05-17,1991-09-30,,1991,5,1991,9,,
1321,Super Bases Loaded 2 †•Super 3D BaseballJP•Korean Pro BaseballKR,Tose,Jaleco,"August 7, 1992",February 1994,Unreleased,,1992-08-07,1994-02-01,,1992,8,1994,2,,
1322,Super Bases Loaded 3: License to Steal•Super Moero!! Pro YakyuuJP,Tose,Jaleco,"December 23, 1994",February 1995,Unreleased,,1994-12-23,1995-02-01,,1994,12,1995,2,,
1323,Super Batter Up•Super FamistaJP,Namco,Namco,"March 27, 1992","October 1, 1992",Unreleased,,1992-03-27,1992-10-01,,1992,3,1992,10,,
1324,Super Battleship,World Builders Synergistic,Mindscape,Unreleased,November 1993,1994,,,1993-11-01,1994-01-01,,,1993,11,1994,1
1325,Super Battletank 2,Absolute Entertainment,Absolute Entertainment,"March 27, 1994","January 11, 1994","August 8, 1994",,1994-03-27,1994-01-11,1994-08-08,1994,3,1994,1,1994,8
1326,Super Bikkuriman,Tom Create,BEC,"January 29, 1993",Unreleased,Unreleased,,1993-01-29,,,1993,1,,,,
1327,Super Birdie Rush,Data East,Data East,"March 6, 1992",Unreleased,Unreleased,,1992-03-06,,,1992,3,,,,
1328,Super Black Bass,Starfish,Hot-B,"December 4, 1992",May 1993,Unreleased,,1992-12-04,1993-05-01,,1992,12,1993,5,,
1329,Super Black Bass 3,,Starfish,"December 15, 1995",Unreleased,Unreleased,,1995-12-15,,,1995,12,,,,
1330,Super Bomberman: Panic Bomber W,Raizing,Hudson Soft,"March 1, 1995",Unreleased,Unreleased,,1995-03-01,,,1995,3,,,,
1331,Super Bomberman,Produce,Hudson Soft,"April 28, 1993",September 1993,"November 20, 1993",,1993-04-28,1993-09-01,1993-11-20,1993,4,1993,9,1993,11
1332,Super Bomberman 2,Produce,Hudson Soft,"April 28, 1994",September 1994,"February 23, 1995",,1994-04-28,1994-09-01,1995-02-23,1994,4,1994,9,1995,2
1333,Super Bomberman 3,Hudson Soft,Hudson Soft,"April 28, 1995",Unreleased,"October 15, 1995",,1995-04-28,,1995-10-15,1995,4,,,1995,10
1334,Super Bomberman 4,Produce,Hudson Soft,"April 26, 1996",Unreleased,Unreleased,,1996-04-26,,,1996,4,,,,
1335,Super Bomberman 5,Hudson Soft,Hudson Soft,"February 28, 1997",Unreleased,Unreleased,,1997-02-28,,,1997,2,,,,
1336,Super Bombliss,Tose,Bullet-Proof Software,"March 17, 1995",Unreleased,Unreleased,,1995-03-17,,,1995,3,,,,
1337,Super Bonk•Super B.C. KidEU•Chou GenjinJP,A.I. Company Ltd.,Hudson Soft,"July 22, 1994",November 1994,1995,,1994-07-22,1994-11-01,1995-01-01,1994,7,1994,11,1995,1
1338,Super Bowling,Athena,Technōs Japan (JP)American Technōs (NA),"July 3, 1992",September 1992,Unreleased,,1992-07-03,1992-09-01,,1992,7,1992,9,,
1339,Super Buster Bros. †•Super PangEU,Capcom,Capcom,"August 7, 1992",October 1992,1992,,1992-08-07,1992-10-01,1992-01-01,1992,8,1992,10,1992,1
1340,Super Caesars Palace,Illusion Softworks,Virgin Interactive,"October 21, 1993","August 8, 1993",Unreleased,,1993-10-21,1993-08-08,,1993,10,1993,8,,
1341,Super Casino 2,OeRSTED,Coconuts Japan,"July 14, 1995",Unreleased,Unreleased,,1995-07-14,,,1995,7,,,,
1342,Super Castles,,Victor Interactive Software,"December 22, 1994",Unreleased,Unreleased,,1994-12-22,,,1994,12,,,,
1343,Super Castlevania IV•Akumajou DraculaJP,Konami,Konami,"October 31, 1991","December 4, 1991","August 27, 1992",,1991-10-31,1991-12-04,1992-08-27,1991,10,1991,12,1992,8
1344,Super Chase H.Q.•Super H.Q. Criminal ChaserJP,Taito,Taito,"November 26, 1993",December 1993,1993,,1993-11-26,1993-12-01,1993-01-01,1993,11,1993,12,1993,1
1345,Super Chinese Fighter,,Culture Brain,"January 3, 1995",Unreleased,Unreleased,,1995-01-03,,,1995,1,,,,
1346,Super Chinese World 2: Uchuu Ichibuto Daikai,,Culture Brain,"October 29, 1993",Unreleased,Unreleased,,1993-10-29,,,1993,10,,,,
1347,Super Chinese World 3 - Chou Jigen Daisakusen,,Culture Brain,"December 22, 1995",Unreleased,Unreleased,,1995-12-22,,,1995,12,,,,
1348,Super Conflict,Vic Tokai,Vic Tokai,Unreleased,March 1993,1994,,,1993-03-01,1994-01-01,,,1993,3,1994,1
1349,Super Dany,Cryo Interactive,Virgin Interactive,Unreleased,Unreleased,1994,,,,1994-01-01,,,,,1994,1
1350,Super Double Dragon•Return of Double DragonJP,Technōs Japan,Tradewest,"October 16, 1992","October 8, 1992","September 30, 1993",,1992-10-16,1992-10-08,1993-09-30,1992,10,1992,10,1993,9
1351,Super Double Yakuman,,VAP,"April 1, 1994",Unreleased,Unreleased,,1994-04-01,,,1994,4,,,,
1352,Super Double Yakuman II,,VAP,"March 14, 1997",Unreleased,Unreleased,,1997-03-14,,,1997,3,,,,
1353,Super Drift Out,Dragnet,Visco Corporation,"February 24, 1995",Unreleased,Unreleased,,1995-02-24,,,1995,2,,,,
1354,Super Dropzone•Archer MacLean's Super Dropzone,Eurocom,Psygnosis,Unreleased,Cancelled,December 1995,,,,1995-12-01,,,,,1995,12
1355,Super Earth Defense Force,Jaleco,Jaleco,"October 25, 1991","January 1, 1992",1992,,1991-10-25,1992-01-01,1992-01-01,1991,10,1992,1,1992,1
1356,Super Dimension Fortress Macross: Scrambled Valkyrie,Winkysoft,Zamuse,"October 29, 1993",Unreleased,Unreleased,,1993-10-29,,,1993,10,,,,
1357,Super Dunk Star,C-Lab,Sammy Corporation,"April 28, 1993",Cancelled,Unreleased,,1993-04-28,,,1993,4,,,,
1358,Super F1 Circus,Cream,Nichibutsu,"July 24, 1992",Unreleased,Unreleased,,1992-07-24,,,1992,7,,,,
1359,Super F1 Circus 2,Cream,Nichibutsu,"July 29, 1993",Unreleased,Unreleased,,1993-07-29,,,1993,7,,,,
1360,Super F1 Circus 3,Cream,Nichibutsu,"July 15, 1994",Unreleased,Unreleased,,1994-07-15,,,1994,7,,,,
1361,Super F1 Circus Gaiden,Cream,Nichibutsu,"July 7, 1995",Unreleased,Unreleased,,1995-07-07,,,1995,7,,,,
1362,Super F1 Circus Limited,Cream,Nichibutsu,"October 23, 1992",Unreleased,Unreleased,,1992-10-23,,,1992,10,,,,
1363,Super F1 Hero,Aprinet,Varie,"December 18, 1992",Unreleased,Unreleased,,1992-12-18,,,1992,12,,,,
1364,Super Famicom Wars,Intelligent Systems,Nintendo,"May 1, 1998",Unreleased,Unreleased,,1998-05-01,,,1998,5,,,,
1365,Super Family Circuit,Game Studio,Namco,"October 21, 1994",Unreleased,Unreleased,,1994-10-21,,,1994,10,,,,
1366,Super Family Gelände,,Namco,"February 1, 1998",Unreleased,Unreleased,,1998-02-01,,,1998,2,,,,
1367,Super Famista 2,,Namco,"March 12, 1993",Unreleased,Unreleased,,1993-03-12,,,1993,3,,,,
1368,Super Famista 3,,Namco,"March 4, 1994",Unreleased,Unreleased,,1994-03-04,,,1994,3,,,,
1369,Super Famista 4,,Namco,"March 3, 1995",Unreleased,Unreleased,,1995-03-03,,,1995,3,,,,
1370,Super Famista 5,,Namco,"February 29, 1996",Unreleased,Unreleased,,1996-02-29,,,1996,2,,,,
1371,Super Final Match Tennis,Human Entertainment,Human Entertainment,"August 12, 1994",Unreleased,Unreleased,,1994-08-12,,,1994,8,,,,
1372,Super Fire Pro Wrestling,Human Club,Human Entertainment,"December 20, 1991",Unreleased,Unreleased,,1991-12-20,,,1991,12,,,,
1373,Super Fire Pro Wrestling: Queen's Special,Human Club,Human Entertainment,"June 30, 1995",Unreleased,Unreleased,,1995-06-30,,,1995,6,,,,
1374,Super Fire Pro Wrestling 2,Human Club,Human Entertainment,"December 25, 1992",Unreleased,Unreleased,,1992-12-25,,,1992,12,,,,
1375,Super Fire Pro Wrestling 3 Easy Type,Human Club,Human Entertainment,"February 4, 1994",Unreleased,Unreleased,,1994-02-04,,,1994,2,,,,
1376,Super Fire Pro Wrestling 3 Final Bout,Human Club,Human Entertainment,"December 28, 1993",Unreleased,Unreleased,,1993-12-28,,,1993,12,,,,
1377,Super Fire Pro Wrestling Special,Human Club,Human Entertainment,"December 22, 1994",Unreleased,Unreleased,,1994-12-22,,,1994,12,,,,
1378,Super Fire Pro Wrestling X,Human Club,Human Entertainment,"December 22, 1995",Unreleased,Unreleased,,1995-12-22,,,1995,12,,,,
1379,Super Fire Pro Wrestling X Premium,Human Club,Human Entertainment,"March 29, 1996",Unreleased,Unreleased,,1996-03-29,,,1996,3,,,,
1380,Super Fishing: Big Fight,Geo Factory,Naxat Soft,"December 16, 1994",Unreleased,Unreleased,,1994-12-16,,,1994,12,,,,
1381,Super Formation Soccer 94,Human Entertainment,Human Entertainment,"June 17, 1994",Unreleased,Unreleased,,1994-06-17,,,1994,6,,,,
1382,Super Formation Soccer 95: della Serie A,Human Entertainment,Human Entertainment,"March 31, 1995",Unreleased,Unreleased,,1995-03-31,,,1995,3,,,,
1383,Super Formation Soccer 95: della Serie A: UCC Xaqua,Human Entertainment,Human Entertainment,"March 31, 1995",Unreleased,Unreleased,,1995-03-31,,,1995,3,,,,
1384,Super Formation Soccer 96: World Club Edition,Human Entertainment,Human Entertainment,"March 29, 1996",Unreleased,Unreleased,,1996-03-29,,,1996,3,,,,
1385,Super Formation Soccer II,Human Entertainment,Human Entertainment,"June 11, 1993",Unreleased,Unreleased,,1993-06-11,,,1993,6,,,,
1386,Super Ghouls 'n Ghosts †•Chou MakaimuraJP,Capcom,Capcom,"October 4, 1991","November 28, 1991","December 10, 1992",,1991-10-04,1991-11-28,1992-12-10,1991,10,1991,11,1992,12
1387,Super Goal! 2•Takeda Nobuhiro no Super Cup SoccerJP,Tose,Jaleco,"November 26, 1993",April 1994,Unreleased,,1993-11-26,1994-04-01,,1993,11,1994,4,,
1388,Super Godzilla•Chou-GodzillaJP,Toho,Toho,"December 23, 1993",July 1994,Unreleased,,1993-12-23,1994-07-01,,1993,12,1994,7,,
1389,Super Gomoku Narabe Renju,Naxat Soft,Naxat Soft,"March 25, 1994",Unreleased,Unreleased,,1994-03-25,,,1994,3,,,,
1390,Super Gomoku Shougi,,Nichibutsu,"November 18, 1994",Unreleased,Unreleased,,1994-11-18,,,1994,11,,,,
1391,Super Gussun Oyoyo,Kan's,Banpresto,"August 11, 1995",Unreleased,Unreleased,,1995-08-11,,,1995,8,,,,
1392,Super Gussun Oyoyo 2,Kan's,Banpresto,"May 24, 1996",Unreleased,Unreleased,,1996-05-24,,,1996,5,,,,
1393,Super Hanafuda,Use,I'Max,"August 5, 1994",Unreleased,Unreleased,,1994-08-05,,,1994,8,,,,
1394,Super Hanafuda 2,Use,I'Max,"October 20, 1995",Unreleased,Unreleased,,1995-10-20,,,1995,10,,,,
1395,Super High Impact,Iguana Entertainment,Acclaim Entertainment,"July 9, 1993",June 1993,Unreleased,,1993-07-09,1993-06-01,,1993,7,1993,6,,
1396,Super Honmei: G1 Seiha,,Nichibutsu,"February 28, 1994",Unreleased,Unreleased,,1994-02-28,,,1994,2,,,,
1397,Super Ice Hockey•Super Hockey '94JP,Opera House,Sunsoft,"March 25, 1994",Unreleased,1994,,1994-03-25,,1994-01-01,1994,3,,,1994,1
1398,Super Igo Go Ou,,Naxat Soft,"April 8, 1994",Unreleased,Unreleased,,1994-04-08,,,1994,4,,,,
1399,Super Indy Champ,Opensystem,Forum,"April 1, 1994",Unreleased,Unreleased,,1994-04-01,,,1994,4,,,,
1400,Super International Cricket,Beam Software,Nintendo,Unreleased,Unreleased,1994,,,,1994-01-01,,,,,1994,1
1401,Super James Pond•James Pond IIEU,American Softworks,American Softworks,"July 23, 1993",July 1993,September 1993,,1993-07-23,1993-07-01,1993-09-01,1993,7,1993,7,1993,9
1402,Super Jangou,,Victor Interactive Software,"March 17, 1995",Unreleased,Unreleased,,1995-03-17,,,1995,3,,,,
1403,Super Jinsei Game,Takara,Takara,"March 18, 1994",Unreleased,Unreleased,,1994-03-18,,,1994,3,,,,
1404,Super Jinsei Game 2,Takara,Takara,"September 8, 1995",Unreleased,Unreleased,,1995-09-08,,,1995,9,,,,
1405,Super Jinsei Game 3,Takara,Takara,"November 29, 1996",Unreleased,Unreleased,,1996-11-29,,,1996,11,,,,
1406,Super Keiba,,I'Max,"August 10, 1993",Unreleased,Unreleased,,1993-08-10,,,1993,8,,,,
1407,Super Keiba 2,Tomcat System,I'Max,"May 19, 1995",Unreleased,Unreleased,,1995-05-19,,,1995,5,,,,
1408,Super Keirin,Betop,I'Max,"July 14, 1995",Unreleased,Unreleased,,1995-07-14,,,1995,7,,,,
1409,Super Kokou Yakyuu: Ichikyuu Jikkon,,I'Max,"August 5, 1994",Unreleased,Unreleased,,1994-08-05,,,1994,8,,,,
1410,Super Kyousouba: Kaze no Sylphid,,King Records,"October 8, 1993",Unreleased,Unreleased,,1993-10-08,,,1993,10,,,,
1411,Super Kyotei,,Nichibutsu,"June 30, 1995",Unreleased,Unreleased,,1995-06-30,,,1995,6,,,,
1412,Super Kyotei 2,,Nichibutsu,"April 26, 1996",Unreleased,Unreleased,,1996-04-26,,,1996,4,,,,
1413,Super Kyuukyoku Harikiri Stadium,,Taito,"December 3, 1993",Unreleased,Unreleased,,1993-12-03,,,1993,12,,,,
1414,Super Kyuukyoku Harikiri Stadium 2,Now Production,Taito,"August 12, 1994",Unreleased,Unreleased,,1994-08-12,,,1994,8,,,,
1415,Super Loopz,Graffiti,Imagineer,"March 4, 1994",Cancelled,Unreleased,,1994-03-04,,,1994,3,,,,
1416,Super Mad Champ,Givro,Tsukuda Original,"March 4, 1995",Unreleased,Unreleased,,1995-03-04,,,1995,3,,,,
1417,Super Mahjong,,I'Max,"August 22, 1992",Unreleased,Unreleased,,1992-08-22,,,1992,8,,,,
1418,Super Mahjong 2: Honkaku 4 Nin Uchi!,,I'Max,"December 2, 1993",Unreleased,Unreleased,,1993-12-02,,,1993,12,,,,
1419,Super Mahjong 3: Karakuchi,,I'Max,"November 25, 1994",Unreleased,Unreleased,,1994-11-25,,,1994,11,,,,
1420,Super Mahjong Taikai,,Koei,"September 12, 1992",Unreleased,Unreleased,,1992-09-12,,,1992,9,,,,
1421,Super Mario All-Stars †•Super Mario CollectionJP,Nintendo,Nintendo,"July 14, 1993","August 1, 1993","December 16, 1993",,1993-07-14,1993-08-01,1993-12-16,1993,7,1993,8,1993,12
1422,Super Mario All-Stars + Super Mario World,Nintendo,Nintendo,Unreleased,December 1994,1995,,,1994-12-01,1995-01-01,,,1994,12,1995,1
1423,Super Mario Kart †,Nintendo,Nintendo,"August 27, 1992","September 1, 1992","January 21, 1993",,1992-08-27,1992-09-01,1993-01-21,1992,8,1992,9,1993,1
1424,Super Mario RPG: Legend of the Seven Stars †,Square,Nintendo,"March 9, 1996","May 13, 1996",Unreleased,,1996-03-09,1996-05-13,,1996,3,1996,5,,
1425,Super Mario World †•Super Mario World: Super Mario Bros. 4JP,Nintendo,Nintendo,"November 21, 1990","August 23, 1991","April 11, 1992",,1990-11-21,1991-08-23,1992-04-11,1990,11,1991,8,1992,4
1426,Super Mario World 2: Yoshi's Island †•Super Mario: Yoshi IslandJP,Nintendo,Nintendo,August 1995,"October 4, 1995",October 1995,,1995-08-01,1995-10-04,1995-10-01,1995,8,1995,10,1995,10
1427,Super Metroid,Nintendo,Nintendo,"March 19, 1994","April 18, 1994","July 28, 1994",,1994-03-19,1994-04-18,1994-07-28,1994,3,1994,4,1994,7
1428,Super Momotarou Dentetsu DX,Make,Hudson Soft,"December 8, 1995",Unreleased,Unreleased,,1995-12-08,,,1995,12,,,,
1429,Super Momotarou Dentetsu II,Make,Hudson Soft,"August 7, 1992",Unreleased,Unreleased,,1992-08-07,,,1992,8,,,,
1430,Super Momotarou Dentetsu III,Make,Hudson Soft,"December 9, 1994",Unreleased,Unreleased,,1994-12-09,,,1994,12,,,,
1431,Super Morph,Millennium Interactive,Sony Imagesoft,Unreleased,Unreleased,1993,,,,1993-01-01,,,,,1993,1
1432,Super Naxat Open: Golf de Shoubu da! Dorabocchan,Kuusou Kagaku,Naxat Soft,"March 18, 1994",Unreleased,Unreleased,,1994-03-18,,,1994,3,,,,
1433,Super Nazo Puyo: Ruruu no Ruu,Compile,Banpresto,"May 26, 1995",Unreleased,Unreleased,,1995-05-26,,,1995,5,,,,
1434,Super Nazo Puyo Tsuu: Ruruu no Tetsuwan Hanjouki,Compile,Compile,"June 28, 1996",Unreleased,Unreleased,,1996-06-28,,,1996,6,,,,
1435,Super Nichibutsu Mahjong,,Nichibutsu,"December 18, 1992",Unreleased,Unreleased,,1992-12-18,,,1992,12,,,,
1436,Super Nichibutsu Mahjong 2: Zenkoku Seiha Hen,,Nichibutsu,"October 29, 1993",Unreleased,Unreleased,,1993-10-29,,,1993,10,,,,
1437,Super Nichibutsu Mahjong 3: Yoshimoto Gekijou Hen,,Nichibutsu,"July 29, 1994",Unreleased,Unreleased,,1994-07-29,,,1994,7,,,,
1438,Super Nichibutsu Mahjong 4: Kiso Kenkyuu Hen,,Nichibutsu,"September 27, 1996",Unreleased,Unreleased,,1996-09-27,,,1996,9,,,,
1439,Super Ninja Boy•Super Chinese WorldJP,Culture Brain,Culture Brain,"December 28, 1991",April 1993,Unreleased,,1991-12-28,1993-04-01,,1991,12,1993,4,,
1440,Super Ninja-kun,,Jaleco,"August 5, 1994",Unreleased,Unreleased,,1994-08-05,,,1994,8,,,,
1441,Super Nova•Darius ForceJP,Taito/Act Japan,Taito,"September 24, 1993",December 1993,Unreleased,,1993-09-24,1993-12-01,,1993,9,1993,12,,
1442,Super Off Road,Software Creations,Tradewest,"July 3, 1992","December 1, 1991","June 24, 1993",,1992-07-03,1991-12-01,1993-06-24,1992,7,1991,12,1993,6
1443,Super Off Road: The Baja•Super 4WD: The BajaJP,Software Creations,Tradewest,"June 17, 1994","July 2, 1993",Unreleased,,1994-06-17,1993-07-02,,1994,6,1993,7,,
1444,Super Okuman Chouja Game,,Takara,"November 24, 1995",Unreleased,Unreleased,,1995-11-24,,,1995,11,,,,
1445,Super Oozumou: Nessen Ooichiban,,Namco,"December 18, 1992",Unreleased,Unreleased,,1992-12-18,,,1992,12,,,,
1446,Super Pachi-Slot Mahjong,Syscom,Nichibutsu,"April 28, 1994",Unreleased,Unreleased,,1994-04-28,,,1994,4,,,,
1447,Super Pachinko,Betop,I'Max,"July 29, 1994",Unreleased,Unreleased,,1994-07-29,,,1994,7,,,,
1448,Super Pachinko Taisen,,Banpresto,"April 28, 1995",Unreleased,Unreleased,,1995-04-28,,,1995,4,,,,
1449,Super Pinball: Behind the Mask,KaZe / Meldac,Nintendo,"January 8, 1994",May 1994,"August 8, 1994",,1994-01-08,1994-05-01,1994-08-08,1994,1,1994,5,1994,8
1450,Super Pinball II: Amazing Odyssey,KAZe,Meldac,"March 17, 1995",Unreleased,Unreleased,,1995-03-17,,,1995,3,,,,
1451,Super Play Action Football,Tose,Nintendo,Unreleased,August 1992,Unreleased,,,1992-08-01,,,,1992,8,,
1452,Super Power League,Now Production,Hudson Soft,"August 6, 1993",Unreleased,Unreleased,,1993-08-06,,,1993,8,,,,
1453,Super Power League 2,Now Production,Hudson Soft,"August 3, 1994",Unreleased,Unreleased,,1994-08-03,,,1994,8,,,,
1454,Super Power League 3,Now Production,Hudson Soft,"August 10, 1995",Unreleased,Unreleased,,1995-08-10,,,1995,8,,,,
1455,Super Power League 4,Now Production,Hudson Soft,"August 9, 1996",Unreleased,Unreleased,,1996-08-09,,,1996,8,,,,
1456,Super Professional Baseball II,Tose,Jaleco,"August 7, 1992",Unreleased,Unreleased,,1992-08-07,,,1992,8,,,,
1457,Super Punch-Out!!,Nintendo,Nintendo,"March 1, 1998","September 14, 1994","January 26, 1995",,1998-03-01,1994-09-14,1995-01-26,1998,3,1994,9,1995,1
1458,Super Putty•Putty MoonJP,System 3,U.S. Gold,"July 30, 1993",November 1993,1993,,1993-07-30,1993-11-01,1993-01-01,1993,7,1993,11,1993,1
1459,Super Puyo Puyo,Compile,Banpresto,"December 10, 1993",Unreleased,Unreleased,,1993-12-10,,,1993,12,,,,
1460,Super Puyo Puyo Tsuu,Compile,Compile,"December 8, 1995",Unreleased,Unreleased,,1995-12-08,,,1995,12,,,,
1461,Super Puyo Puyo Tsuu Remix,Compile,Compile,"March 8, 1996",Unreleased,Unreleased,,1996-03-08,,,1996,3,,,,
1462,Super R.B.I. Baseball,Gray Matter,Time Warner Interactive,Unreleased,June 1995,Unreleased,,,1995-06-01,,,,1995,6,,
1463,Super R-Type,Irem,Irem,"July 13, 1991","September 1, 1991","June 4, 1992",,1991-07-13,1991-09-01,1992-06-04,1991,7,1991,9,1992,6
1464,Super Real Mahjong PIV,Affect,SETA,"March 25, 1994",Unreleased,Unreleased,,1994-03-25,,,1994,3,,,,
1465,Super Real Mahjong PV: Paradise: All-Star 4 Nin Uchi,SETA,SETA,"April 21, 1995",Unreleased,Unreleased,,1995-04-21,,,1995,4,,,,
1466,Super Robot Taisen EX,Winkysoft,Banpresto,"March 25, 1994",Unreleased,Unreleased,,1994-03-25,,,1994,3,,,,
1467,Super Robot Taisen Gaiden: Masou Kishin: The Lord of Elemental,Winkysoft,Banpresto,"March 22, 1996",Unreleased,Unreleased,,1996-03-22,,,1996,3,,,,
1468,Super Rugby,Tose,Tonkin House,"October 21, 1994",Unreleased,Unreleased,,1994-10-21,,,1994,10,,,,
1469,Super Sangokushi,Koei,Koei,"August 12, 1994",Unreleased,Unreleased,,1994-08-12,,,1994,8,,,,
1470,Super Scope 6•Nintendo Scope 6EU,Nintendo,Nintendo,"June 21, 1993",February 1992,"August 26, 1992",,1993-06-21,1992-02-01,1992-08-26,1993,6,1992,2,1992,8
1471,Super Shougi,,I'Max,"June 19, 1992",Unreleased,Unreleased,,1992-06-19,,,1992,6,,,,
1472,Super Shougi 2,,I'Max,"June 17, 1994",Unreleased,Unreleased,,1994-06-17,,,1994,6,,,,
1473,Super Shougi 3: Kitaihei,Gaibrain,I'Max,"December 29, 1995",Unreleased,Unreleased,,1995-12-29,,,1995,12,,,,
1474,Super Slam Dunk•Magic Johnson no Super Slam DunkJP,Virgin Interactive,Virgin Interactive,"July 16, 1993",July 1993,Unreleased,,1993-07-16,1993-07-01,,1993,7,1993,7,,
1475,Super Slap Shot,Ringler Studios,Virgin Interactive,"August 20, 1993",August 1993,Unreleased,,1993-08-20,1993-08-01,,1993,8,1993,8,,
